Lebensmittelbezeichnung;Energie;Protein;Fett;Kohlenhydrate;Ballaststoffe
Kürbis Hokkaido (C. maxima) gekocht;30;1,4;0,2;5,298;0,806
Ente Brust, mit Haut, gegrillt;250;23,339;17,426;0;0
Schwein Bauch (wie gewachsen) gekocht;357;22,49;29,64;0;0
Kartoffel ungeschält, gebraten ohne Fett (Pfanne);111;2,66;0,13;23,98;1,844
Schaf Vorderhaxe, mager, gekocht;169;32,3;4,47;0;0
Reh Keule, geschmort ohne Fett;143;32,27;1,587;0;0
Rind Vorderhesse, geschmort ohne Fett;163;27,126;6,057;0;0
Kalb Bries, gekocht;112;20,104;3,532;0;0
Schaf Rücken, gebraten ohne Fett (Ofen);174;32,6;4,79;0;0
Eierteigwaren Tortellini (Fleischfüllung) getrocknet, gekocht;140;5,319;2,76;23,133;0,906
Kürbis Pumpkin (C. pepo) gebacken;42;1,294;0,153;6,84;4,035
Speisezwiebel Pulver;334;11,489;1,491;59,76;13,9
Eier pochiert (verlorene Eier);136;13,308;9,091;0,343;0
Champignon geschmort ohne Fett;42;5,41;0,405;4,4;2,8
Gemüsepaprika grün, gebacken;45;1,271;0,282;8,11;2,4
Große Sandklaffmuschel gekocht;54;9,844;1,638;0;0
Schwarzwurzel geschmort ohne Fett;73;1,658;0,513;10,5;6
Schaf Filetsteak, gebraten ohne Fett (Ofen);146;29,26;3,21;0;0
Köhler/Seelachs, tiefgefroren, gebraten ohne Fett (Pfanne);95;21,078;1,238;0;0
Kalb Unterschale/Schwanzstück, gebraten ohne Fett (Ofen);114;26,854;0,778;0;0
Schwein Hüfte/Schinkenspeck, gebraten ohne Fett (Ofen);156;28,6;4,57;0;0
Spitzkohl gekocht;29;1,12;0,17;4,21;2,9
Milchmischgetränk < 1 % Fett, aromatisiert, gesüßt;56;3,213;0,066;10,512;0
Mohn gemahlen;521;23,821;42,2;2,99;17,159
Taube Fleisch, mit Haut, tiefgefroren;169;20,9;9,5;0;0
Batate/Süßkartoffel, frittiert, gesalzen;300;2,833;11,525;43,8;5,458
Hase Fleisch, tiefgefroren;113;21,6;3,01;0;0
Blumenkohl gekocht;37;1,9;0,9;5,09;2,38
Gerste Flocken, gekocht;56;1,903;0,355;10,6;1,5
Kürbis Hokkaido (C. maxima) gedünstet;33;1,522;0,217;5,759;0,848
Lamm Herz, gebraten ohne Fett (Pfanne);178;25,7;8,4;0;0
Schwein Hirn, gekocht;116;11,224;7,941;0;0
Hähnchen Herz, tiefgefroren;165;13,09;12,5;0;0
Schwein Kotelett (Rücken/cranial) gebraten ohne Fett (Ofen);203;26,63;10,75;0;0
Gans Fleisch, mit Haut, gekocht;260;20,186;19,929;0;0
Johannisbeere rot, gedünstet;41;1,514;0,211;4,52;3,7
Goldbutt/Scholle, gedünstet;69;15,4;0,8;0;0
Schleie geräuchert;84;19,108;0,799;0;0
Seehecht tiefgefroren;86;17,2;1,93;0;0
Schaf Schnitzel (Keule, mittelfett) gegrillt;242;25,8;15,4;0;0
Lamm Zunge, gekocht;238;17,6;18,6;0;0
Grenadier gebraten ohne Fett (Pfanne);90;20,781;0,788;0;0
Broccoli gekocht;33;3,3;0,5;2,5;2,73
Fleischkäse einfach, fein/Original Bayerischer Leberkäse fein, gebraten ohne Fett (Ofen);283;15,59;24,01;0,67;0
Köhler/Seelachs, tiefgefroren, pochiert;86;18,75;1,239;0;0
Reh Keule, gekocht;129;29,043;1,429;0;0
Schaf Brust, fett, gebraten ohne Fett (Ofen);433;15,8;41,1;0;0
Pute Brust, ohne Haut, tiefgefroren;105;24,1;0,99;0;0
Rind Hinterhesse, geschmort ohne Fett;177;28,7;6,9;0;0
Hummer gekocht;80;14,722;2,346;0;0
Spitzkohl gebacken;36;1,42;0,21;5,33;3,5
Katfisch/Steinbeißer, gebraten ohne Fett (Pfanne);97;18,762;2,4;0;0
Wildente Schenkel, mit Haut, gebraten ohne Fett (Pfanne);236;25,8;14,7;0;0
Schaf Herz, geschmort ohne Fett;196;29,6;8,57;0;0
Gemüsefenchel gebacken;32;1,647;0,235;4,04;3,9
Ente Fleisch, ohne Haut, gekocht;135;25,9;3,5;0;0
Köhler/Seelachs, tiefgefroren, gedünstet;76;16,641;1,1;0;0
Brombeere getrocknet;305;8,02;1,2;63,1;19,7
Schwarzer Heilbutt tiefgefroren;161;13,217;12;0;0
Aal gebraten ohne Fett (Pfanne);309;16,9;26,8;0;0
Portulak gedünstet;16;1,577;0,362;0,625;1,7
Schaf Gulasch (Hals/Kamm/Nacken) geschmort ohne Fett;234;26,1;14,42;0;0
Porree/Lauch, gebraten ohne Fett (Pfanne);57;3,397;0,397;8;3,5
Gans Schenkel, mit Haut, tiefgefroren;231;17,17;18,073;0;0
Champignon gebraten ohne Fett (Pfanne);47;6;0,449;4,8;3,1
Fleischkäse einfach, fein/Original Bayerischer Leberkäse fein, gebraten ohne Fett (Pfanne);271;14,4;23,24;0,63;0
Schwein Bauch (wie gewachsen) gebraten ohne Fett (Ofen);364;22,77;30,34;0;0
Perlhuhn Fleisch, mit Haut, gebraten ohne Fett (Ofen);167;29,9;5,23;0;0
Katfisch/Steinbeißer, tiefgefroren;82;15,8;2,13;0;0
Schwarzer Heilbutt gedünstet;147;11,526;11,2;0;0
Birkenpilz gedünstet;65;6,62;0,873;4,6;9,141
Suppenhuhn Innereien, gebraten ohne Fett (Pfanne);240;27;14,62;0;0
Hammel Brust, gebraten ohne Fett (Ofen);433;15,833;41,111;0;0
Schwein Oberschale (ohne Deckel) gebraten ohne Fett (Ofen);143;29,54;2,71;0;0
Hammel Kotelett, gebraten ohne Fett (Ofen);456;22,468;40,635;0;0
Pastinake geschmort ohne Fett;71;3,2056;0,513;11,7;2,566
Schaf Brust, mittelfett, gebraten ohne Fett (Ofen);215;25,9;12,4;0;0
Hühnerei Eiklar, gebraten ohne Fett (Pfanne);46;10,9;0,034;0,461;0
Wirsing gebraten ohne Fett (Pfanne);69;5,243;0,604;7,8;5,3
Hühnerei Eigelb, gebraten ohne Fett (Pfanne);386;17,2;35,169;0,236;0
Kichererbse reif, gekocht;151;8,4;3;17,4;10,6
Gemüsepaprika rot, gedünstet;39;1,114;0,217;6,73;2,391
Rind Brustkern/Mittelbrust, geschmort ohne Fett;247;25,319;16,224;0;0
Leng gebraten ohne Fett (Pfanne);97;22,562;0,698;0;0
Wurzelpetersilie gedünstet;74;2,824;0,461;13,5;2,088
Wachtel Fleisch, ohne Haut, gebraten ohne Fett (Pfanne);155;29,7;4,03;0;0
Weißer Thun gedünstet;109;24,3;1,3;0;0
Knoblauch geschmort ohne Fett;122;7,487;0,52;4;35,371
Steinbutt gedünstet;74;14,911;1,648;0;0
Pilgermuschel/Jakobsmuschel, gegrillt;93;22,818;0,149;0;0
Sprotte gedünstet;174;14,9;12,7;0;0
Rind Herz, geschmort ohne Fett;197;29,244;8,889;0;0
Rind Keule, gebraten ohne Fett (Ofen);171;26,2;7,4;0;0
Rind Leber, tiefgefroren;131;19,21;3,66;5,3;0
Bohne grün, gekocht;34;2,1;0,3;4,06;3,65
Zander pochiert;69;15,957;0,56;0;0
Hähnchen Oberschenkel, mit Haut, gebraten ohne Fett (Pfanne);243;25,49;15,72;0;0
Schaf Vorderhaxe, mittelfett, gekocht;259;29,8;15,5;0;0
Karotte/Möhre, geschmort ohne Fett;48;1,002;0,477;7,797;3,5
Pute Fleisch, ohne Haut, gegrillt;134;26,974;2,9;0;0
Pastinake gekocht;72;1,2;0,7;13,7;2,6
Hammel Brust, gekocht;480;17,538;45,538;0;0
Rotbarsch/Goldbarsch, gebraten ohne Fett (Ofen);108;18,4;3,87;0;0
Schaf Hinterhaxe, mager, gegrillt;161;29,7;4,72;0;0
Weißkohl gebacken;37;1,626;0,224;5,33;3,5
Schwein Vordereisbein/Vorderhaxe, gekocht;238;29,99;13,11;0;0
Spargel tiefgefroren;32;2,178;0,173;4,42;1,6
Wildreis gekocht;140;5,074;0,349;28,36;1,5
Dorsch/Kabeljau, tiefgefroren, gedünstet;68;15,527;0,6;0;0
Edelkastanie/Marone, gebacken;229;3,179;2,065;44,783;9,098
Schwein Schmetterlingssteak, gegrillt;216;34,1;8,9;0;0
Kalb Steak (Rücken) tiefgefroren;107;20,9;2,62;0;0
Tomate gedünstet;24;1,08;0,125;3,69;1,5
Hühnerei gekocht;144;14,1;9,6;0,34;0
Schwein Hackfleisch, gekocht;345;25,95;26,78;0;0
Kasseler, Rohpökelware, geräuchert, geschmort ohne Fett;133;28,29;2,259;0;0
Dornhai gebraten ohne Fett (Pfanne);195;14,082;15,353;0;0
Kalb Bug/Schulter, geschmort ohne Fett;116;26,571;1,077;0;0
Sesam geröstet ohne Fett;575;20,896;51,429;1,448;11,408
Halloumi Grillkäse, gegrillt;320;22,14;25,32;0,1;0
Hähnchen Brustfilet, geschmort ohne Fett;134;30,13;1,53;0;0
Bleichsellerie gebraten ohne Fett (Pfanne);32;2,264;0,2;3;4,817
Dorsch/Kabeljau, tiefgefroren, gebraten ohne Fett (Ofen);93;21,553;0,723;0;0
Gemüseartischocke/Kardone, gekocht;22;0,9;0,1;3,27;2
Schwein Kotelett (Rücken/cranial) gegrillt;226;27,64;12,84;0;0
Köhler/Seelachs, gebraten ohne Fett (Ofen);134;26,6;3,048;0;0
Schwein Kotelett (Rücken/cranial) geschmort ohne Fett;219;27,53;12,07;0;0
Schaf Vorderhaxe, mager, gebraten ohne Fett (Ofen);143;27,3;3,77;0;0
Tintenfisch gebraten ohne Fett (Pfanne);87;19,119;1,22;0;0
Birne getrocknet;231;1,194;1,154;52,36;11,1
Lachs gedünstet;163;17,355;10,419;0;0
Erdbeere gedünstet;40;0,863;0,421;6,229;2,1
Zuckererbse tiefgefroren;40;4;0,2;4,6;2
Hirse Schrot, gekocht;45;1,53;0,39;8,53;0,43
Pelamide gebraten ohne Fett (Pfanne);162;26,6;6,21;0;0
Rotkohl gebraten ohne Fett (Pfanne);53;2,949;0,34;7,042;4,7
Pute Keule, ohne Haut, gebraten ohne Fett (Ofen);189;34,692;5,554;0;0
Schwein Herz, gebraten ohne Fett (Pfanne);160;24,7;6,81;0;0
Schwein Gulasch (Restbug) geschmort ohne Fett;161;29,42;4,79;0;0
Yamswurzel gebacken;158;2,564;0,167;33;7,128
Tomate gebacken;25;1,118;0,129;3,82;1,5
Rebhuhn Fleisch, gebraten ohne Fett (Ofen);324;54,4;11,8;0;0
Schwein Schmetterlingssteak, gebraten ohne Fett (Ofen);176;28,8;6,7;0;0
Sauerkirschsaft;62;0,81;0,4;12,853;0,1
Teigwaren eifrei, gekocht;146;5,4;0,702;28,68;1,494
Geflügel Dönerfleisch, gegrillt;268;27,65;17,48;0;0
Hähnchen Flügel, mit Haut, gegrillt;286;28,8;19,03;0;0
Blei/Brachsen/Brasse, geräuchert;104;17,92;3,57;0;0
Leinsamen geschrotet;468;22,27;36,5;1,7;21,565
Hühnerei gebacken;161;15,556;10,843;0,41;0
Roggen Vollkornschrot, gekocht;47;1,31;0,2;8,52;2,97
Schwein Filetmedaillon, gebraten ohne Fett (Pfanne);144;28,87;3,17;0;0
Gurke geschmort ohne Fett;18;1,155;0,218;2,17;1
Königslachs gebraten ohne Fett (Pfanne);208;23,631;12,6;0;0
Sprotte gebraten ohne Fett (Pfanne);197;18,2;13,8;0;0
Karotte/Möhre, gekocht;34;0,5;0,5;5,415;2,47
Vollkornteigwaren eifrei, gekocht;130;5,4;1,11;22,6;3,9
Barsch/Flussbarsch, gebraten ohne Fett (Pfanne);94;21,85;0,7;0;0
Porree/Lauch, gedünstet;37;2,277;0,266;5;2,3
Schwein Hackfleisch, gegrillt;363;24,52;29,41;0;0
Rind Gulasch (Bug) tiefgefroren;128;20,2;5,3;0;0
Geflügelmortadella gebraten ohne Fett (Ofen);231;12,967;19,09;0,009;0,51
Alaska-Pollack/Alaska-Seelachs, tiefgefroren, gedünstet;65;14,643;0,667;0;0
Kalb Filet/Lende, gebraten ohne Fett (Ofen);135;29,074;2,08;0;0
Dorschleber gebraten ohne Fett (Pfanne);651;5,2;70;0;0
Kartoffel ungeschält, gekocht;71;1,8;0,6;13,641;1,696
Dorsch/Kabeljau, tiefgefroren, gebraten ohne Fett (Pfanne);85;19,667;0,675;0;0
Seezunge gebraten ohne Fett (Pfanne);102;20,781;2,09;0;0
Pelamide gedünstet;127;20;5,26;0;0
Schaf Filet/Lende, gegrillt;260;25,6;17,5;0;0
Stielmus/Rübstiel, gebraten ohne Fett (Pfanne);27;2,2;0,4;1,21;4,8
Zuckermais gekocht;61;3,012;1,13;8,6;2,7
Hähnchen Brustfilet, tiefgefroren;109;23,25;1,81;0;0
Frühlingszwiebel/Lauchzwiebel (ohne Laub) gebacken;38;1,1;0,176;7,05;1,6
Edelkastanie/Marone, gegrillt;228;3,116;2,065;44,783;9,098
Wachtel Fleisch, ohne Haut, gebraten ohne Fett (Ofen);178;34,4;4,53;0;0
Schaf Filetmedaillon, tiefgefroren;118;22,79;2,97;0;0
Frühlingszwiebel/Lauchzwiebel, gedünstet;27;1,9;0,19;3;2,5
Fleischwurst gebraten ohne Fett (Pfanne);318;12,9;29,223;0,27;0
Schaf Schnitzel (Keule, mittelfett) gebraten ohne Fett (Ofen);215;24,8;12,9;0;0
Hammel Brust, geschmort ohne Fett;487;17,812;46,25;0;0
Hähnchen Brust, ohne Haut, geschmort ohne Fett;131;28,26;2,05;0;0
Bohne grün, gedünstet;30;2,381;0,255;3,7;2,011
Aprikose gedünstet;47;0,9;0,148;9,341;1,75
Miesmuschel tiefgefroren;60;10,51;1,955;0;0
Goldbutt/Scholle, tiefgefroren, gedünstet;69;14,643;1,143;0;0
Tintenfisch tiefgefroren;73;16,1;0,98;0;0
Erbse grün, gedünstet;97;6,5;0,527;13,52;5,5
Rind Bug/Schulter, tiefgefroren;128;20,2;5,3;0;0
Hühnerei gebraten ohne Fett (Pfanne);151;14,507;10,112;0,382;0
Eierteigwaren gekocht;130;5,2;0,91;24,72;1,331
Pute Flügel, mit Haut, geschmort ohne Fett;176;23,2;9,2;0;0
Sauerkraut abgetropft, gekocht;18;1,066;0,294;0,94;2,117
Honigmelonensaft;35;0,429;0,1;8,08;0,113
Gans Fleisch, mit Haut, gebraten ohne Fett (Ofen);257;22,73;18,507;0;0
Forelle tiefgefroren, gebraten ohne Fett (Ofen);163;25,897;6,389;0;0
Schaf Filet/Lende, tiefgefroren;194;18,7;13,2;0;0
Gemüsepaprika grün, gekocht;38;1,092;0,243;6,95;2,1
Gans Fleisch, ohne Haut, gebraten ohne Fett (Ofen);176;34;4,39;0;0
Aubergine gekocht;23;0,7;0,5;3;1,8
Palmenherz gekocht;30;2,6;0,2;3,78;1,4
Kaninchen Fleisch, geschmort ohne Fett;177;29,5;6,6;0;0
Kartoffel geschält, gebraten ohne Fett (Pfanne);115;2,694;0,139;24,861;1,972
Gans Fleisch, mit Haut, gebraten ohne Fett (Pfanne);296;24,173;22,143;0;0
Wachsbohne gedünstet;29;2,2;0,2;3,7;2,011
Suppenhuhn Schenkel, mit Haut, tiefgefroren;257;18,5;20,3;0;0
Kalb Hals/Nacken/Kamm, gekocht;135;27,257;2,85;0;0
Kalb Steak (Rücken) gegrillt;131;25,723;3,157;0;0
Schnecken gekocht;78;16,6;1,29;0;0
Ente Schenkel, mit Haut, gebraten ohne Fett (Pfanne);199;25,23;10,88;0;0
Ente Schenkel, mit Haut, geschmort ohne Fett;200;24,68;11,22;0;0
Forelle pochiert;134;17,96;6,78;0;0
Reh Rücken, tiefgefroren;122;22,4;3,55;0;0
Dorsch/Kabeljau, tiefgefroren, gegrillt;95;21,933;0,778;0;0
Pute Flügel, mit Haut, gebraten ohne Fett (Ofen);278;30,9;17,1;0;0
Europäische Auster gebraten ohne Fett (Pfanne);73;9,607;3,3;1,225;0
Makrele gebraten ohne Fett (Pfanne);164;21;8,9;0;0
Rind Keule, gekocht;187;28,6;8,1;0;0
Kochkäse (selbstgemacht);246;14,02;19,68;2,6;0
Rind Roastbeef (Rücken) mariniert, roh;138;19,7;5,6;1,78;0,16
Kirschstrudel (Blätterteig);335;3,71;21,59;29,68;2,1
Seelachsfilet Müllerinart (mehliert, gebraten);120;19,76;3,2;2,63;0,19
Helle Soße Instantpulver;431;4,43;20,32;56,9;1,1
Pute Fleisch, ohne Haut, tiefgefroren, gebraten ohne Fett (Ofen);146;30,067;2,9;0;0
Fruchtsaftgetränk Johannisbeere;30;0,152;0,022;7,126;0
Crepes Suzette gebraten;281;5,3;16,2;25,2;0,81
Käsekuchen/Quarkkuchen (Mürbeteig);261;8,4;12,1;28,9;0,69
Milch-Getreide-Brei, mit Haferflocken und Apfelsaft (geeignet für Beikost);98;4,64;3,95;10,4;1,089
Alaska-Seelachs im Backteig, tiefgefroren;205;9,2;10,32;18,25;1,31
Fruchteis;128;0,291;0,149;30,3;0,6
Lauchsuppe gebunden;46;0,98;3,2;3;0,6
Fischkroketten mit Seelachs frittiert;265;15,95;13,28;19,57;1,6
Grießschnitten gesüßt gebraten;148;3,38;10,02;10,89;0,43
Kohlrüben-Eintopf mit Kasseler und Kartoffeln;76;6,8;2,7;5,34;1,4
Hausmacher Leberwurst Konserve;288;12,7;26,1;0,49;0,1
Tintenfisch tiefgefroren, gebraten ohne Fett (Ofen);106;23,174;1,48;0;0
Apfeltasche (Blätterteig);317;3,3;21,2;26,8;2,9
Frühlingsrollen gefüllt mit Gemüse, Schweinefleisch und Krabben, frittiert;342;11,4;20,04;27,7;2,7
Kartoffelgratin mit Lauch;136;4,6;8,8;9;1
Welfencreme (Vanilleflammeri mit Weinschaum);137;4,1;3,9;19,85;0,046
Biskuitrolle/Biskuitroulade, mit Konfitüre;262;6,6;3,5;49,8;1,2
Speiseeis Nuss, in Waffeltüte;255;3,96;12,86;29,8;1,9
Kartoffelhörnchen (Mürbeteig);339;6;8,5;58,1;2,9
Speiseeis (Kaffee, Vanille) gemischt;183;3,4;9,7;20,1;0,2
Saure-Sahne-Dressing mit Joghurt und Senf;92;3,16;6,8;3,8;0,1
Schinkenklößchen;154;9,41;4,51;18,22;1,2
Pizzabaguette mit Kochschinken und Käse überbacken;222;15,7;10,03;16;1,4
Mehrfruchtsaft angereichert mit Vitaminen und Mineralstoffen;54;0,338;0,1;12,3;0,3
Hirschragout mit Grundsauce dunkel/braun und Rotwein;158;14,44;9;2,6;0,2
Berliner Knacker/Berliner Knackwurst;271;21,26;20,69;0;0
Schinkenröllchen in Aspik;90;15,7;2,4;0,74;0,261
Saure Rinderkutteln gekocht, mit Grundsauce dunkel/braun;84;8,6;4,1;2,81;0,23
Karotten und Lauch gedünstet;60;1,02;3,5;4,8;2,1
Marinade mit Gemüsebrühe für Kartoffelsalat;97;0,47;9;2,35;0,3
Soja-Streichwurstalternative, vegan;226;5,9;20,3;4,2;1,4
Hähnchen Magen, tiefgefroren, gebraten ohne Fett (Pfanne);132;27,82;2,32;0;0
Debrecziner roh;330;23,32;26,31;0;0,07
Gulaschsuppe mit Rindfleisch, Zwiebeln und Paprika;48;3,5;2,7;2;0,6
Haselnusscremeeis;224;5,7;15,9;14,2;0,8
Bohnensalat bunt (gegart) mit Schafskäse und warmer Essigmarinade;87;3,56;4,8;5,8;2
Rotbarsch/Goldbarsch, tiefgefroren, gebraten ohne Fett (Pfanne);108;18,2;3,9;0;0
Entenpastete gebacken;252;21,1;15;7,7;0,7
Geselchte;171;14,21;12,59;0,08;0,05
Döner vegetarisch, Fladenbrot gefüllt mit Rohkost, Schafskäse und Sauce;145;4,3;7,8;13;1,4
Teigwaren eifrei, Ravioli (Gemüsefüllung) in Tomatensoße, Konserve;95;2,8;1,1;17;2,3
Salsa verde;480;2,18;50,7;2;2,06
Kartoffelgratin mit Spinat;136;5,91;7,76;10;1,2
Tomatensuppe gebunden;44;0,49;3,68;1,89;0,5
Kohlroulade gedünstet, vegan gefüllt mit Hirse, Tomaten und Tofu;54;2,76;1,1;7,49;1,6
Garnele/Granat/Krabbe, Präserve;93;18,938;1,955;0;0
Karotten-Eintopf mit Schweinebauch;110;4,56;6,5;7,39;1,6
Roter Mehrfruchtsaft;50;0,7;0,3;9,9;0,3
Kartoffelomelett gebraten;160;5,27;8,11;15,45;1,8
Schwedischer Mandel-Marzipan-Kuchen/Mazarinkuchen (Mürbeteig);494;8,6;32,5;40,2;3,1
Weizenbrötchen mit Zwiebeln;299;9,4;3,1;56;4,3
Frankfurter Rindswurst/Rote Wurst, Konserve;223;11,439;19,738;0;0
Knoblauchbutter/Kräuterbutter;587;4,5;62;2;1,3
Rinderschmorbraten mit Speck und Sauce;150;13,9;8,9;3,22;0,5
Rinderfilet mariniert, gebraten im Ofen;150;23,09;5,8;0,08;0,12
Kartoffelwurst;180;10,86;13,12;4,41;0,6
Bauernfrühstück mit Speck und Kochschinken, gebraten;229;8,52;16,38;11,09;1,4
Smoothie purpur (Früchte);57;0,7;0,3;11;1,9
Kaffeeersatz (Getränk) mit Sojadrink, ungesüßt;6;0,18;0,045;0,95;0,58
Müsli-Riegel;428;8,4;15,4;58,5;6,1
Schaf Keule, fett, tiefgefroren, gebraten ohne Fett (Ofen);279;24,1;20,3;0;0
Geflügelbierwurst mit Schweinefleisch;238;12,26;21;0;0,05
Quarkpudding;280;12,2;13,8;25,6;1,5
Falafel (Kichererbsenbällchen) frittiert;193;8,88;8;17;7,5
Energieriegel angereichert mit Vitaminen und Mineralstoffen;449;10,6;21,7;47;7,4
Fruchtsalat gesüßt;62;0,76;0,3;12,6;2,2
Karthäuser Klöße gebraten, mit Zucker und Zimt;280;7,76;11,61;35,36;1,66
Graupenblutwurst;206;7,21;12,86;14,7;1,1
Fenchelrohkost mit Joghurtmarinade;54;1,63;2,39;4,9;2,4
Gemüsesaft aus Tomate, mit Salz;18;0,76;0,046;2,968;0,76
Hirse-Gemüse-Bratlinge gebraten;98;4,2;3,6;11,39;1,5
Reiskroketten mit Parmesan;290;5,96;15,3;31,6;1,2
Müslimischung mit Trockenfrüchten, glutenfrei, gesüßt;350;8,6;8;56,7;6,9
Broccoliauflauf;114;7,02;7,8;3,2;1,2
Joghurt fettarm, mind. 1,5 % bis max. 1,8 % Fett, mit Fruchtzubereitung, Zucker und Süßungsmitteln;59;3,738;1,309;7,2;0,1
Miesmuschel tiefgefroren, gekocht;61;9,853;2,444;0;0
Zitronensorbet;123;0,7;0,1;28,126;0,045
Nuss-Schnecken (Hefeteig);386;8,9;18,28;44,7;3,4
Schwein Filetmedaillon, tiefgefroren, gebraten ohne Fett (Ofen);144;28,87;3,17;0;0
Milzwurst;208;11,67;17,86;0,15;0,1
Quittenkompott;87;1,3;1,6;13,6;4,7
Orangenkuchen (Rührmasse);389;5,55;21,3;42,8;1,31
Lippischer Pickert gebraten (aus Hefeteig mit roh geriebenen Kartoffeln und saurer Sahne);292;5,95;15;32;2,43
Pudding englische Art;248;7;13;24;1,9
Wurstsalat mit Gewürzgurke und Essigmarinade;251;7,58;23,44;1,55;0,2
Plumpudding;282;4,9;10,6;39,3;3,5
Flammkuchen Elsässer Art;233;8,74;11,3;23;1,9
Auberginenscheiben im Backteig (mit Bier) frittiert;239;5,4;14,28;20,48;2,3
Zungenpresskopf;212;19,63;14,68;0,17;0,1
Ajvar Konserve;68;0,9;4,4;5;2,2
Ochsenschwanz geschmort (mit Fett und Salz);193;16,9;12,5;2,6;1,3
Delikatesspastete mit Mürbeteig, gebacken;303;16,82;22,65;7,55;0,64
Speiseeis (Karamell, Nuss) gemischt;212;3,8;10,79;24,45;0,89
Marzipan-Monde;461;11,7;26,7;40,5;5,8
Biskuitrolle/Biskuitroulade, mit Zitronensahnecreme;220;5,6;8;30,77;0,64
Flunder mehliert, gebraten;105;14,5;2,8;4,08;0,45
Thüringer Rotwurst;182;20,58;10,9;0,37;0,1
Weizenvollkornknäckebrot mit Ölsamen, Hartkäse und Zwiebeln;429;16,9;17,2;46;11
Grießauflauf mit Käse;198;7,9;11,66;15,08;0,66
Apfelmus mit Zimt;53;0,395;0,5;10,4;2,019
Müslimischung mit Trockenfrüchten, ungesüßt;327;9;4,9;55,9;10,5
Joghurtsahne für Gebäck/Torten;232;3,3;16,8;16,24;0,008
Ananas-Marzipan-Kuchen (Rührmasse);386;6,36;20,6;42;3,27
Linsenbratlinge vegan, gebraten;158;8,25;3,5;19,6;7,3
Pralinen gefüllt mit Kaffee;425;2,7;20;57,2;2,8
Puddingschnecken (Hefeteig);247;6,1;7,6;37,7;1,7
Grießauflauf mit Rosinen;128;4,1;6,4;13,2;0,6
Lammfleischklößchen gegart;121;14,3;4,48;5,43;0,6
Seeteufel gebraten (mit Fett und Salz);82;16,896;1,5;0,083;0,006
Zwiebeln gedünstet, mit saurer Sahne;72;1,18;4,9;5,2;1,1
Bayerische Creme;238;5,4;18,3;12,95;0
Sahnejoghurt mind. 10 % Fett, mit Fruchtzubereitung, gesüßt;150;3,492;8,187;14,812;0,1
Elisenlebkuchen;435;12,89;23,2;40,8;5,2
Kichererbsensalat (gegart) mit warmer Essigmarinade;107;5,15;3,2;11,7;4,7
Rinderroulade geschmort, mit Sauce;133;12;8,5;1,8;0,4
Schweinerollbraten mit Sauce;158;15,9;9,8;1,1;0,9
Tomatensuppe klar, mit Gemüsebrühe;15;0,69;0,1;2,24;0,7
Eier-Frischteigwaren mit Basilikum (mit Salz gekocht);160;6,49;3,25;25,21;2
Selleriesalat (gegart) mit warmer Essigmarinade;50;1,17;3,1;2,14;3
Steinbutt mehliert, gebraten;105;17,35;2,5;2,88;0,24
Spinatnocken;148;6,6;7,78;12,34;1
Trüffelleberwurst;268;13,73;23,25;0,6;0,6
Kartoffelrösti tiefgefroren;207;2,446;8,557;29;1,9
Kohlroulade gedünstet, vegetarisch gefüllt mit Hirse, Tomaten und Schafskäse;69;2,99;2,7;7,37;1,4
Reisauflauf mit Spargel und Käse;163;7,8;6,28;18,2;0,9
Mortadella fettreduziert;122;13,39;7,47;0,17;0,17
Eierteigwaren mit gedünsteten Tomaten und Petersilie;126;4,9;3,39;18,24;1,3
Kalbshirn gebraten;132;11,44;9,39;0,42;0,1
Fruchtmichel mit gemischten Früchten, gebacken;180;5,65;5,6;26;1,4
Schweinepfeffer;134;12,42;7,8;3,28;0,3
Schokoladenpudding, Flammeri, zubereitet aus Pulver und Milch 3,5 % Fett, gesüßt;108;3,38;3,1;16,5;0,43
Rosinenbrot glutenfrei;278;3,4;5,9;51;2,3
Hammelragout mit grünen Bohnen;232;7,1;19,2;7;1,2
Mandarinen-Omelettes (Wiener Boden hell) mit Sahne;256;3,72;16,2;23,22;0,49
Nussstangen (Mürbeteig);543;8,6;36,3;43,7;3,2
Weizenvollkornknäckebrot mit Käse, Ölsamen und Tomaten;410;16,3;13,7;49;11,9
Mohnstollen (Hefemürbteig);392;8,1;22,5;37;4,2
Mohnkranz (Quark-Öl-Teig);422;10,1;23,3;40,3;4,6
Möhren-Nusstorte/Rüblitorte (Biskuit);342;8,4;21,37;27,2;3,3
Vanille-Milchkaltschale mit Ei, gebunden mit Stärke;103;4,7;4,63;10,6;0,015
Mandarinensahnecreme für Gebäck/Torten;212;2;14,2;18,6;0,19
Haferflocken gesüßt, mit Milch 3,5 % Fett und Fruchtmischung;147;4,79;3,1;22,9;3,3
Hausmacher Blutwurst;341;13,995;31,47;0,36;0,1
Aprikosenkaltschale gebunden mit Stärke;48;0,8;0,1;9,87;1,445
Pfefferkuchen;409;8,26;10,6;68,3;3,4
Kalbsbraten mit Grundsauce dunkel/braun;101;15;3,2;2,8;0,5
Hefeteig gesüßt, mit Wasser, roh;298;7,11;9,34;45;2,95
Frischecreme/Streichcreme, Basis Mandeln, vegan;220;4,481;21,6;0,78;2
Champignons im Backteig (mit Bier) frittiert;219;6,8;13,03;17,7;2,5
